sep=;
instancia;artista;t_lineal;t_binaria
1;Artista_0;0.008408416;0.0
1;Artista_40;0.013996130200000002;1.3201000000000001E-5
1;Artista_81;0.0197134708;2.7076E-5
1;Artista_122;0.0257182242;4.0819000000000003E-5
1;Artista_162;0.0283190322;5.47766E-5
2;Artista_0;0.008121184;0.0
2;Artista_40;0.0139376198;1.38464E-5
2;Artista_81;0.0198431332;2.77416E-5
2;Artista_122;0.022223097200000003;4.14264E-5
2;Artista_162;0.024651167600000003;5.52518E-5
3;Artista_0;0.0079030252;0.0
3;Artista_40;0.0136133374;1.2787200000000002E-5
3;Artista_81;0.0193649718;2.6704600000000002E-5
3;Artista_122;0.0217796986;4.06432E-5
3;Artista_162;0.024291332399999997;5.34112E-5
4;Artista_0;0.007949376800000001;0.0
4;Artista_40;0.013793982800000002;1.3991E-5
4;Artista_81;0.019697554;2.7672600000000003E-5
4;Artista_122;0.0220990624;4.12542E-5
4;Artista_162;0.0245644666;5.4975399999999995E-5
5;Artista_0;0.007895504000000001;0.0
5;Artista_40;0.013783040000000002;1.3871399999999999E-5
5;Artista_81;0.0196518182;2.7702399999999994E-5
5;Artista_122;0.0223228138;4.1674799999999996E-5
5;Artista_162;0.0249061432;5.566239999999999E-5
6;Artista_0;0.0078224204;0.0
6;Artista_40;0.0134104032;1.3936600000000001E-5
6;Artista_81;0.019012046400000003;2.6769200000000005E-5
6;Artista_122;0.021305605600000003;4.06144E-5
6;Artista_162;0.0237838206;5.40446E-5
7;Artista_0;0.007884036799999999;0.0
7;Artista_40;0.013874451199999999;1.26764E-5
7;Artista_81;0.019805804599999997;2.6562600000000002E-5
7;Artista_122;0.022246528199999997;4.058600000000001E-5
7;Artista_162;0.024709435999999998;5.452120000000001E-5
8;Artista_0;0.0090778914;0.0
8;Artista_40;0.014560393;1.27656E-5
8;Artista_81;0.0200443866;2.6523599999999998E-5
8;Artista_122;0.022330456800000002;4.01366E-5
8;Artista_162;0.0247665526;5.3693199999999996E-5
9;Artista_0;0.0080004564;0.0
9;Artista_40;0.013772304400000001;1.3844000000000002E-5
9;Artista_81;0.0193528448;2.7666799999999997E-5
9;Artista_122;0.021718164;4.1272999999999996E-5
9;Artista_162;0.0241754554;5.5045599999999994E-5
10;Artista_0;0.0081112838;0.0
10;Artista_40;0.0140617562;1.2822199999999999E-5
10;Artista_81;0.020004317;2.7024399999999998E-5
10;Artista_122;0.0223906446;4.1001600000000004E-5
10;Artista_162;0.024776849799999997;5.48408E-5
11;Artista_0;0.0079709556;0.0
11;Artista_40;0.0140146464;1.27758E-5
11;Artista_81;0.020016702;2.54922E-5
11;Artista_122;0.0224753182;3.90604E-5
11;Artista_162;0.0249599392;5.1654400000000005E-5
12;Artista_0;0.0077336456;0.0
12;Artista_40;0.0136739806;1.2830200000000001E-5
12;Artista_81;0.0195391654;2.66272E-5
12;Artista_122;0.0220057218;4.0256800000000004E-5
12;Artista_162;0.024307448000000002;5.309620000000001E-5
13;Artista_0;0.0082035614;0.0
13;Artista_40;0.0138809672;1.35602E-5
13;Artista_81;0.0197426142;2.7353999999999996E-5
13;Artista_122;0.0222363264;4.0116599999999995E-5
13;Artista_162;0.0248107576;5.375659999999999E-5
14;Artista_0;0.0081281584;0.0
14;Artista_40;0.014136594800000003;1.39338E-5
14;Artista_81;0.0200512602;2.7768599999999997E-5
14;Artista_122;0.022482624200000002;4.1381199999999996E-5
14;Artista_162;0.024830177000000002;5.49592E-5
15;Artista_0;0.0081289508;0.0
15;Artista_40;0.013806600799999999;1.26506E-5
15;Artista_81;0.019505370799999998;2.6457E-5
15;Artista_122;0.021843404;4.02788E-5
15;Artista_162;0.024374911;5.393559999999999E-5
16;Artista_0;0.0079967336;0.0
16;Artista_40;0.0140736584;1.3881200000000002E-5
16;Artista_81;0.020170439800000002;2.8233400000000003E-5
16;Artista_122;0.0226329068;4.18186E-5
16;Artista_162;0.025122837800000002;5.5400000000000005E-5
17;Artista_0;0.0081535462;0.0
17;Artista_40;0.014306229200000001;1.3875199999999999E-5
17;Artista_81;0.0204940248;2.7512999999999996E-5
17;Artista_122;0.022758610199999998;4.01936E-5
17;Artista_162;0.025183333199999998;5.29624E-5
18;Artista_0;0.0081091838;0.0
18;Artista_40;0.0136459012;1.3557400000000002E-5
18;Artista_81;0.0192978278;2.6149000000000003E-5
18;Artista_122;0.021644876400000002;3.8860000000000004E-5
18;Artista_162;0.024100557600000003;5.155100000000001E-5
19;Artista_0;0.0079284048;0.0
19;Artista_40;0.014096856599999999;1.3726400000000001E-5
19;Artista_81;0.020179612399999998;2.73898E-5
