sep=;
Vuelta;Insertion;Selection;Merge;Quick
1;2.786412245;4.486982048;0.008004599;0.008571159
2;2.959504366;4.534004356;0.008179513;0.007160189
3;2.842712988;4.61747763;0.008122974;0.007274571
4;2.833219508;4.597621937;0.008046317;0.006936602
5;2.886645133;4.712939208;0.008152077;0.007180428
6;2.808141906;4.543836469;0.008044853;0.007016193
7;2.889561643;4.509960453;0.008074514;0.007339731
8;2.815202449;4.519104106;0.008018913;0.007026272
9;2.866539359;4.52888358;0.010189037;0.0074375
10;2.765706058;4.603767483;0.008107419;0.007269502
11;2.953694669;4.588891404;0.008060918;0.007351255
12;2.786548131;4.560125002;0.008361103;0.007176311
13;2.847811583;4.624295431;0.008081192;0.0079798
14;2.937424219;4.55391135;0.008558846;0.007321565
15;2.749579259;4.614531893;0.009186517;0.007513679
16;2.857023466;4.583117182;0.007955929;0.006872154
17;3.118811614;4.500803363;0.008147918;0.009183875
18;2.740481301;4.429800407;0.008072132;0.006989203
19;2.765781094;4.39114441;0.008651586;0.00687787
20;2.724661027;4.443791806;0.007697573;0.00690997
21;2.810409834;4.432999064;0.007949493;0.007069153
22;2.843995361;4.459162801;0.007677087;0.006655809
23;3.010668401;4.410639545;0.008006707;0.006679794
24;2.825143228;4.394419483;0.00792887;0.006812943
25;2.79416635;4.436222768;0.00805133;0.006879012
26;2.904167679;4.434246707;0.008096316;0.006855708
27;2.788190691;4.489339227;0.007758855;0.006912648
28;2.875944815;4.429287581;0.00783356;0.006768838
29;2.954080172;4.56839736;0.009803104;0.008076912
30;2.764967756;4.594517049;0.008014213;0.007823297
31;2.886129558;4.566562145;0.008037461;0.007103714
32;2.761579392;4.556188387;0.007897714;0.008907931
33;2.77702716;4.381634845;0.007939393;0.007406311
34;2.836325971;4.441362359;0.007852502;0.006793259
35;2.729186204;4.399215033;0.007722237;0.006606638
36;3.040435327;4.593924141;0.008073069;0.00735663
37;2.924091879;4.537825456;0.00798868;0.007243823
38;2.807999585;4.728148857;0.008322958;0.007113808
39;3.142271913;4.912229528;0.009507946;0.008236699
40;2.949670185;4.860475834;0.007875115;0.006898006
41;2.806660383;4.491473798;0.009615085;0.007615637
42;2.740483091;4.516279949;0.008138692;0.007001207
43;2.921789367;4.452143564;0.007969726;0.006911022
44;2.767993768;4.531239361;0.007947384;0.00733076
45;2.706302864;4.506136275;0.008032822;0.006954966
46;2.8010843;4.465137988;0.007934092;0.007124775
47;2.952968852;4.499176837;0.008007535;0.006968097
48;2.727431819;4.459813802;0.008517698;0.008346377
49;2.925923515;4.613749038;0.008034982;0.006816004
50;2.873781214;4.605689089;0.008084707;0.007034869
51;2.69772426;4.469721644;0.007947968;0.00731581
52;2.722535253;4.489613382;0.007710038;0.006792802
53;2.755240214;4.420872793;0.008043144;0.00666841
54;2.82442814;4.413126133;0.007621206;0.00698993
55;2.771431379;4.401973268;0.007784845;0.007107353
56;2.677493418;4.39991911;0.007757514;0.007022556
57;2.742809857;4.764454086;0.008454545;0.00796895
58;2.821793844;4.947286726;0.007811236;0.007007163
59;2.765560277;4.806421057;0.016276404;0.010432862
60;3.091610405;4.489643462;0.007965942;0.00701199
61;2.817789094;4.527637373;0.008047898;0.007110945
62;2.913542406;4.545133002;0.007994425;0.007644936
63;2.917470249;4.613497136;0.007990517;0.006887312
64;2.903710923;4.481977003;0.008258624;0.007482468
65;2.838692329;4.443659275;0.007983279;0.007028832
66;2.756802913;4.430093809;0.007776998;0.006978104
67;2.710627198;4.356098961;0.007735169;0.006780246
68;2.890791141;4.478365793;0.008645258;0.007190682
69;2.821044096;4.576916424;0.008299331;0.007022055
70;2.782831083;4.564172064;0.008541169;0.007573528
71;2.785052178;4.519695213;0.0080053;0.00724176
72;2.791727807;4.613654124;0.008533872;0.007113153
73;3.110609995;4.499532956;0.008087104;0.006834125
74;2.863604913;4.493678547;0.008064366;0.006957627
75;3.025965083;4.50777465;0.007877219;0.007167378
76;2.781126908;4.733877101;0.008533152;0.008706417
77;2.977562655;4.638917992;0.008127173;0.007052777
78;2.969912626;4.474009018;0.009296632;0.007209629
79;2.713514064;4.45182389;0.007848797;0.006685104
80;2.739077294;4.423959988;0.007645166;0.006858931
81;2.743601027;4.417413831;0.007927405;0.007040903
82;2.880170983;4.396883436;0.007865912;0.007359003
83;2.772426459;4.534586215;0.007824827;0.006867733
84;2.867167505;4.442794392;0.008050717;0.006947032
85;2.733282087;4.499152563;0.008250347;0.007169934
86;2.886239715;4.498098766;0.007996357;0.007106821
87;2.987002933;4.487476587;0.007954977;0.007310284
88;2.769430844;4.381836753;0.007944004;0.006751829
89;2.785026218;4.406331032;0.008041081;0.007972982
90;2.772731208;4.374472472;0.007728345;0.006875611
91;2.809221925;4.641215126;0.008052484;0.006972949
92;2.861842035;4.506132652;0.00940428;0.007172083
93;2.754068958;4.500561174;0.008116407;0.006903229
94;2.801344629;4.500487139;0.008161767;0.007155761
95;2.798904975;4.488901274;0.007979677;0.007121703
96;2.873797683;4.479320468;0.009314035;0.010420251
97;2.819584185;4.469708598;0.007853485;0.007118901
98;2.808054444;4.571262252;0.008029094;0.00810658
99;2.905123829;4.556569494;0.008073389;0.00740295
100;2.800640058;4.561628208;0.008101745;0.007196658
