sep=;
instancia;artista;t_lineal;t_binaria
1;Artista_0;0.0027572802;0.0
1;Artista_20;0.0038675453999999997;1.9485800000000002E-5
1;Artista_40;0.0050143628;3.94586E-5
1;Artista_61;0.006102123399999999;5.485500000000001E-5
1;Artista_80;0.007190930399999999;6.978560000000001E-5
2;Artista_0;0.0027226828;0.0
2;Artista_20;0.0038722606;1.45374E-5
2;Artista_40;0.0049643274;3.02932E-5
2;Artista_61;0.0060524231999999996;4.5449200000000005E-5
2;Artista_80;0.007137948999999999;5.8888199999999996E-5
3;Artista_0;0.0027650712;0.0
3;Artista_20;0.0038530058;1.4428E-5
3;Artista_40;0.004950092;2.9346E-5
3;Artista_61;0.0060360012;4.23798E-5
3;Artista_80;0.0071218928;5.54852E-5
4;Artista_0;0.0027169542000000002;0.0
4;Artista_20;0.0038043422;1.5247000000000002E-5
4;Artista_40;0.0048916678;2.96146E-5
4;Artista_61;0.0060066398;4.35568E-5
4;Artista_80;0.007121417400000001;5.86554E-5
5;Artista_0;0.0026873502;0.0
5;Artista_20;0.0037702184;1.39102E-5
5;Artista_40;0.0048562703999999995;2.89538E-5
5;Artista_61;0.0059410824000000004;4.18872E-5
5;Artista_80;0.007057132000000001;6.0309199999999995E-5
6;Artista_0;0.0026988584;0.0
6;Artista_20;0.0037869556;1.48352E-5
6;Artista_40;0.0048737824;2.95538E-5
6;Artista_61;0.005974101;5.366100000000001E-5
6;Artista_80;0.0070799106;7.081060000000001E-5
7;Artista_0;0.0024143824;0.0
7;Artista_20;0.0035195054;1.2861000000000001E-5
7;Artista_40;0.0046223186;2.46116E-5
7;Artista_61;0.0057202708;3.63686E-5
7;Artista_80;0.006817223999999999;4.9593E-5
8;Artista_0;0.0024693076000000002;0.0
8;Artista_20;0.0035641730000000003;1.15988E-5
8;Artista_40;0.0046588664;2.32572E-5
8;Artista_61;0.0057605402;3.48416E-5
8;Artista_80;0.006855096199999999;4.75076E-5
9;Artista_0;0.0024704524;0.0
9;Artista_20;0.0035801161999999996;1.17278E-5
9;Artista_40;0.0046909934;2.4558E-5
9;Artista_61;0.0058042200000000006;3.61674E-5
9;Artista_80;0.006914366600000001;4.88158E-5
10;Artista_0;0.0025086056;0.0
10;Artista_20;0.003604843;1.26136E-5
10;Artista_40;0.0047026552;2.42952E-5
10;Artista_61;0.0058005026;3.60386E-5
10;Artista_80;0.0068965858000000005;4.8509E-5
11;Artista_0;0.0025321766;0.0
11;Artista_20;0.003628911;1.16624E-5
11;Artista_40;0.0047251122;2.33914E-5
11;Artista_61;0.0058218802;3.6793000000000005E-5
11;Artista_80;0.0069176846;4.846680000000001E-5
12;Artista_0;0.0025880542;0.0
12;Artista_20;0.0036860181999999997;1.25802E-5
12;Artista_40;0.0047914576;2.5100000000000004E-5
12;Artista_61;0.0059215466;3.77064E-5
12;Artista_80;0.007017927;5.038940000000001E-5
13;Artista_0;0.0027886054;0.0
13;Artista_20;0.0039043852000000003;1.1623E-5
13;Artista_40;0.005020377;2.3272599999999998E-5
13;Artista_61;0.0061406086;3.60648E-5
13;Artista_80;0.007256645000000001;4.76966E-5
14;Artista_0;0.0026323376;0.0
14;Artista_20;0.0037467112;1.1679399999999999E-5
14;Artista_40;0.004860978199999999;2.42938E-5
14;Artista_61;0.0060054719999999995;3.6806E-5
14;Artista_80;0.007121765399999999;4.9472E-5
15;Artista_0;0.0027891836;0.0
15;Artista_20;0.0039036198;1.2768400000000001E-5
15;Artista_40;0.0050183292;2.5359000000000006E-5
15;Artista_61;0.0061338582;3.793140000000001E-5
15;Artista_80;0.007249736400000001;4.969000000000001E-5
16;Artista_0;0.0025565032;0.0
16;Artista_20;0.0036808062;1.28044E-5
16;Artista_40;0.0048233616;2.55286E-5
16;Artista_61;0.005947305599999999;3.81642E-5
16;Artista_80;0.007073112799999999;4.98496E-5
17;Artista_0;0.0024783288;0.0
17;Artista_20;0.0035837248;1.2566199999999998E-5
17;Artista_40;0.0047274610000000005;2.4275E-5
17;Artista_61;0.0058234666000000004;3.59288E-5
17;Artista_80;0.0069261494000000005;4.753859999999999E-5
18;Artista_0;0.0025197392;0.0
18;Artista_20;0.003615754;1.2494399999999998E-5
18;Artista_40;0.0047118404;2.509E-5
18;Artista_61;0.005867685;3.78264E-5
18;Artista_80;0.0069702212;5.0802E-5
19;Artista_0;0.0023875622;0.0
19;Artista_20;0.0034841736;1.25628E-5
19;Artista_40;0.0045813493999999995;2.5525199999999997E-5
19;Artista_61;0.005696599399999999;3.84028E-5
19;Artista_80;0.006816124999999999;5.1149399999999995E-5
20;Artista_0;0.002622128;0.0
20;Artista_20;0.0037359958;1.29214E-5
20;Artista_40;0.0048485266;2.4719200000000002E-5
20;Artista_61;0.0059633752;3.6403600000000005E-5
20;Artista_80;0.007078248399999999;4.801860000000001E-5
21;Artista_0;0.0024381446;0.0
21;Artista_20;0.0035344814;1.2733199999999999E-5
21;Artista_40;0.0046307768;2.52802E-5
21;Artista_61;0.0057263456;3.7042800000000004E-5
21;Artista_80;0.0068232710000000005;4.96426E-5
22;Artista_0;0.0026548395999999998;0.0
22;Artista_20;0.0037510905999999997;1.2710999999999999E-5
22;Artista_40;0.0048470753999999994;2.53208E-5
22;Artista_61;0.0059434396;3.79944E-5
