sep=;
instancia;artista;t_lineal;t_binaria
1;Artista_0;0.014413780400000001;0.0
1;Artista_81;0.033273027;1.43528E-5
1;Artista_163;0.041879181;2.9077599999999998E-5
1;Artista_245;0.050498035600000005;4.3874799999999995E-5
1;Artista_326;0.059405684800000004;5.834099999999999E-5
2;Artista_0;0.0152577492;0.0
2;Artista_81;0.0340945468;1.47522E-5
2;Artista_163;0.041878837200000005;2.9407800000000003E-5
2;Artista_245;0.049490141200000004;4.4342600000000005E-5
2;Artista_326;0.05741611440000001;5.918400000000001E-5
3;Artista_0;0.013864869799999999;0.0
3;Artista_81;0.032709764399999994;1.48322E-5
3;Artista_163;0.040334276399999994;2.85844E-5
3;Artista_245;0.0480394646;4.34046E-5
3;Artista_326;0.0561961108;5.8142999999999995E-5
4;Artista_0;0.0135939944;0.0
4;Artista_81;0.032124872000000006;1.48806E-5
4;Artista_163;0.039603046600000004;2.8563199999999998E-5
4;Artista_245;0.0473128102;4.3367599999999995E-5
4;Artista_326;0.0549827206;5.8164399999999995E-5
5;Artista_0;0.013630683199999999;0.0
5;Artista_81;0.032364615799999996;1.4792E-5
5;Artista_163;0.03982853139999999;2.966E-5
5;Artista_245;0.047334303999999994;4.51882E-5
5;Artista_326;0.05492123759999999;5.9911800000000005E-5
6;Artista_0;0.013565344400000002;0.0
6;Artista_81;0.03266412440000001;1.4725E-5
6;Artista_163;0.04026870380000001;2.9179599999999998E-5
6;Artista_245;0.047999062;4.37598E-5
6;Artista_326;0.05561669100000001;5.73612E-5
7;Artista_0;0.013554165400000002;0.0
7;Artista_81;0.0322072594;1.45018E-5
7;Artista_163;0.0400456658;2.9406799999999998E-5
7;Artista_245;0.047731823199999995;4.407699999999999E-5
7;Artista_326;0.05517727099999999;5.8781999999999994E-5
8;Artista_0;0.0133768704;0.0
8;Artista_81;0.031855468799999995;1.45288E-5
8;Artista_163;0.0393392178;2.9304E-5
8;Artista_245;0.0468846524;4.3839E-5
8;Artista_326;0.054404707399999995;5.7575E-5
9;Artista_0;0.014076688200000001;0.0
9;Artista_81;0.0327950438;1.46838E-5
9;Artista_163;0.0404764554;2.93188E-5
9;Artista_245;0.0479610906;4.3924E-5
9;Artista_326;0.0554644952;5.7502599999999994E-5
10;Artista_0;0.0136985216;0.0
10;Artista_81;0.032682775799999994;1.4775000000000002E-5
10;Artista_163;0.039996873999999995;2.8438400000000005E-5
10;Artista_245;0.04749408819999999;4.3068E-5
10;Artista_326;0.05481464739999999;5.758E-5
11;Artista_0;0.0134729114;0.0
11;Artista_81;0.0323433766;1.3762600000000001E-5
11;Artista_163;0.0398824118;2.7479400000000003E-5
11;Artista_245;0.0472098768;4.22388E-5
11;Artista_326;0.054926093200000005;5.687520000000001E-5
12;Artista_0;0.0139380082;0.0
12;Artista_81;0.032493528;1.3655E-5
12;Artista_163;0.0398395042;2.7327600000000002E-5
12;Artista_245;0.047317058;4.20406E-5
12;Artista_326;0.0548187836;5.6543800000000006E-5
13;Artista_0;0.013701786599999998;0.0
13;Artista_81;0.0325565226;1.47922E-5
13;Artista_163;0.0400187588;2.96024E-5
13;Artista_245;0.0474739072;4.43226E-5
13;Artista_326;0.054957027000000006;5.8177800000000004E-5
14;Artista_0;0.013639910799999998;0.0
14;Artista_81;0.0323865758;1.4770000000000001E-5
14;Artista_163;0.039937515;2.94376E-5
14;Artista_245;0.0475121478;4.38958E-5
14;Artista_326;0.0555178896;5.8651000000000005E-5
15;Artista_0;0.0141377638;0.0
15;Artista_81;0.0331163196;1.47494E-5
15;Artista_163;0.040651201799999995;2.9206E-5
15;Artista_245;0.0483473718;4.4083000000000005E-5
15;Artista_326;0.0560527998;5.84694E-5
16;Artista_0;0.013559368799999999;0.0
16;Artista_81;0.0324420842;1.4620200000000001E-5
16;Artista_163;0.04007043019999999;2.83988E-5
16;Artista_245;0.047823230599999995;4.32728E-5
16;Artista_326;0.05587539039999999;5.79504E-5
17;Artista_0;0.013760893;0.0
17;Artista_81;0.0329111268;1.38002E-5
17;Artista_163;0.040420207;2.85576E-5
17;Artista_245;0.0479690258;4.3431000000000005E-5
17;Artista_326;0.055715002;5.7103200000000006E-5
18;Artista_0;0.013649209200000002;0.0
18;Artista_81;0.0324385074;1.4482399999999999E-5
18;Artista_163;0.0404134104;2.8196199999999996E-5
18;Artista_245;0.0479090146;4.30082E-5
18;Artista_326;0.0581415064;5.7688399999999995E-5
19;Artista_0;0.013641757;0.0
19;Artista_81;0.032853444999999995;1.3713E-5
19;Artista_163;0.040428966;2.747E-5
19;Artista_245;0.0485337254;4.1952199999999995E-5
19;Artista_326;0.057349046;5.6742399999999994E-5
20;Artista_0;0.0140365538;0.0
20;Artista_81;0.033340148400000005;1.47754E-5
20;Artista_163;0.042095710800000005;2.95044E-5
20;Artista_245;0.050666016;4.42376E-5
20;Artista_326;0.0592271192;5.7873799999999995E-5
21;Artista_0;0.0141164766;0.0
21;Artista_81;0.033188479800000004;1.3709E-5
21;Artista_163;0.0419238514;2.92822E-5
21;Artista_245;0.050653268800000005;4.29226E-5
21;Artista_326;0.05941164320000001;5.76984E-5
22;Artista_0;0.014179150800000002;0.0
22;Artista_81;0.0327979456;1.44952E-5
22;Artista_163;0.0424088876;2.9391599999999998E-5
22;Artista_245;0.051221279200000004;4.3194399999999994E-5
22;Artista_326;0.059997503400000006;5.68782E-5
23;Artista_0;0.014155483799999998;0.0
23;Artista_81;0.033216998600000006;1.4639399999999999E-5
23;Artista_163;0.041828860600000004;2.8294599999999995E-5
23;Artista_245;0.050439742200000005;4.30148E-5
23;Artista_326;0.0590787606;5.7611999999999997E-5
24;Artista_0;0.0135398482;0.0
24;Artista_81;0.0325599046;1.3694E-5
24;Artista_163;0.041223068;2.7502400000000003E-5
24;Artista_245;0.0505511418;4.22092E-5
24;Artista_326;0.058427461599999994;5.58276E-5
25;Artista_0;0.0141965226;0.0
25;Artista_81;0.037027162;1.44364E-5
25;Artista_163;0.0457895758;2.923E-5
25;Artista_245;0.05454842820000001;4.4158E-5
25;Artista_326;0.0632510814;5.8932600000000006E-5
26;Artista_0;0.013885149;0.0
26;Artista_81;0.0324243742;1.3746E-5
26;Artista_163;0.0398203698;2.86544E-5
26;Artista_245;0.0472342476;4.3357400000000006E-5
26;Artista_326;0.0546138766;5.807780000000001E-5
27;Artista_0;0.013873835400000001;0.0
27;Artista_81;0.032558845999999995;1.48358E-5
27;Artista_163;0.039980111199999994;2.9588200000000002E-5
27;Artista_245;0.047400796999999995;4.4339600000000005E-5
27;Artista_326;0.054814200199999996;5.8705E-5
28;Artista_0;0.0136719734;0.0
28;Artista_81;0.0323249786;1.47226E-5
28;Artista_163;0.039807044;2.9513800000000002E-5
28;Artista_245;0.0473049348;4.41234E-5
28;Artista_326;0.0548832246;5.882299999999999E-5
29;Artista_0;0.0135283176;0.0
29;Artista_81;0.0320795454;1.4812199999999999E-5
29;Artista_163;0.039492054799999995;2.84506E-5
29;Artista_245;0.046877254;4.3152E-5
29;Artista_326;0.054378436399999994;5.7947E-5
30;Artista_0;0.013964612000000001;0.0
30;Artista_81;0.0328641474;1.3672599999999998E-5
30;Artista_163;0.0407841594;2.8432399999999996E-5
30;Artista_245;0.048142564799999996;4.3136599999999996E-5
30;Artista_326;0.05693652419999999;5.7824199999999994E-5
31;Artista_0;0.014322020599999999;0.0
31;Artista_81;0.034012633400000006;1.46794E-5
31;Artista_163;0.0419943034;2.8323599999999998E-5
31;Artista_245;0.05219232620000001;4.305E-5
31;Artista_326;0.0597184196;5.7845E-5
32;Artista_0;0.013834912999999999;0.0
32;Artista_81;0.034074148;1.4431000000000001E-5
32;Artista_163;0.0428278092;2.9211600000000003E-5
32;Artista_245;0.0514689514;4.40562E-5
32;Artista_326;0.06014432759999999;5.780900000000001E-5
33;Artista_0;0.014055361999999998;0.0
33;Artista_81;0.0330822334;1.36196E-5
33;Artista_163;0.041839142;2.83914E-5
33;Artista_245;0.0504816092;4.3044600000000005E-5
33;Artista_326;0.0591808108;5.7851E-5
34;Artista_0;0.0139727966;0.0
34;Artista_81;0.0332874202;1.5105199999999999E-5
34;Artista_163;0.041991028400000005;2.9943E-5
34;Artista_245;0.0508022306;4.46906E-5
34;Artista_326;0.05946786319999999;5.92222E-5
35;Artista_0;0.014085995;0.0
35;Artista_81;0.032582034999999995;1.37042E-5
35;Artista_163;0.0400706428;2.7385000000000003E-5
35;Artista_245;0.047395936799999996;4.232240000000001E-5
35;Artista_326;0.054947347199999996;5.597200000000001E-5
36;Artista_0;0.015209818;0.0
36;Artista_81;0.034156806;1.4945E-5
36;Artista_163;0.0414634442;2.9765200000000004E-5
36;Artista_245;0.0487617624;4.43452E-5
36;Artista_326;0.0562436916;5.91686E-5
37;Artista_0;0.013854936000000002;0.0
37;Artista_81;0.0327118636;1.37024E-5
37;Artista_163;0.0402660364;2.7481599999999998E-5
37;Artista_245;0.047976775000000006;4.17444E-5
37;Artista_326;0.055588447000000006;5.65038E-5
38;Artista_0;0.013827910199999998;0.0
38;Artista_81;0.0325973108;1.37844E-5
38;Artista_163;0.0400352804;2.7573400000000003E-5
38;Artista_245;0.0474685402;4.227980000000001E-5
38;Artista_326;0.05561055499999999;5.67868E-5
39;Artista_0;0.014830326;0.0
39;Artista_81;0.0353098498;1.48792E-5
39;Artista_163;0.0441542086;2.97282E-5
39;Artista_245;0.0515584276;4.3366E-5
39;Artista_326;0.060327796600000004;5.70752E-5
40;Artista_0;0.013967828800000002;0.0
40;Artista_81;0.033002359800000006;1.4829E-5
40;Artista_163;0.04169477740000001;2.84756E-5
40;Artista_245;0.0503881918;4.32886E-5
40;Artista_326;0.0590879598;5.81276E-5
41;Artista_0;0.0146223828;0.0
41;Artista_81;0.0340365172;1.37338E-5
41;Artista_163;0.0427801666;2.848E-5
41;Artista_245;0.0515779784;4.31312E-5
41;Artista_326;0.060403120399999996;5.6808E-5
42;Artista_0;0.013795571400000001;0.0
42;Artista_81;0.032540259800000006;1.48292E-5
42;Artista_163;0.0404901622;2.93318E-5
42;Artista_245;0.0481472836;4.39826E-5
42;Artista_326;0.05564524480000001;5.77422E-5
43;Artista_0;0.015194752;0.0
43;Artista_81;0.0342100834;1.3814400000000001E-5
43;Artista_163;0.0416690774;2.8522600000000004E-5
43;Artista_245;0.0491520168;4.30248E-5
43;Artista_326;0.056625241400000005;5.756120000000001E-5
44;Artista_0;0.0143652292;0.0
44;Artista_81;0.03348013;1.4915999999999999E-5
44;Artista_163;0.0421808984;2.8707400000000002E-5
44;Artista_245;0.0507668982;4.35828E-5
44;Artista_326;0.0593694936;5.84448E-5
45;Artista_0;0.0140874852;0.0
45;Artista_81;0.0328815162;1.37562E-5
45;Artista_163;0.0414762402;2.8501000000000004E-5
45;Artista_245;0.050151396800000005;4.3332000000000005E-5
45;Artista_326;0.0586775766;5.812600000000001E-5
46;Artista_0;0.013450605199999998;0.0
46;Artista_81;0.0319627258;1.37458E-5
46;Artista_163;0.0403378926;2.85624E-5
46;Artista_245;0.0475233978;4.33146E-5
46;Artista_326;0.054689600000000005;5.81912E-5
47;Artista_0;0.0132441776;0.0
47;Artista_81;0.031617985800000005;1.46026E-5
47;Artista_163;0.038769873600000004;2.8178000000000004E-5
47;Artista_245;0.046064052200000004;4.176680000000001E-5
47;Artista_326;0.053753795800000004;5.630360000000001E-5
48;Artista_0;0.012971739199999999;0.0
48;Artista_81;0.0313086796;1.47228E-5
48;Artista_163;0.038438139999999996;2.9498800000000003E-5
48;Artista_245;0.0455662026;4.42324E-5
48;Artista_326;0.0527141136;5.79354E-5
49;Artista_0;0.0141305014;0.0
49;Artista_81;0.0328407472;1.47842E-5
49;Artista_163;0.0402013872;2.9556199999999997E-5
49;Artista_245;0.047700369;4.33084E-5
49;Artista_326;0.0550775904;5.8179E-5
50;Artista_0;0.013385448999999999;0.0
50;Artista_81;0.032011212;1.47124E-5
50;Artista_163;0.0392331604;2.83644E-5
50;Artista_245;0.0463975914;4.26096E-5
50;Artista_326;0.053840527400000004;5.7134799999999994E-5
51;Artista_0;0.0138416488;0.0
51;Artista_81;0.0323372818;1.3707E-5
51;Artista_163;0.039436520200000005;2.7493E-5
51;Artista_245;0.0465571026;4.11448E-5
51;Artista_326;0.053655147400000006;5.590160000000001E-5
