sep=;
Vuelta;Insertion;Selection;Merge;Quick
1;1.158064423;1.165669387;0.003695941;0.003292538
2;0.73878036;1.078946482;0.003532815;0.003191951
3;0.704360277;1.08017387;0.003473821;0.005302846
4;0.753753216;1.068337915;0.003579041;0.003141775
5;0.722983382;1.065715493;0.005196144;0.004036684
6;0.723007835;1.140329914;0.003528942;0.003646497
7;0.718834481;1.092493976;0.003489623;0.003037546
8;0.69933354;1.073456986;0.003676482;0.003110689
9;0.690306285;1.117135648;0.003575933;0.003326732
10;0.729715306;1.090251313;0.003636025;0.003467726
11;0.728134585;1.103096616;0.003597972;0.003204789
12;0.70562742;1.084620272;0.003542337;0.003148134
13;0.703303018;1.093592806;0.003569736;0.003164966
14;0.724225187;1.132803521;0.00521103;0.003407673
15;0.696413876;1.088686508;0.003580178;0.003120504
16;0.732621149;1.152419032;0.003598278;0.003181698
17;0.719572014;1.171439317;0.00358361;0.003236536
18;0.704812973;1.092257879;0.003622656;0.003080355
19;0.739969589;1.089026262;0.003545803;0.003195488
20;0.764296201;1.0884327;0.003603499;0.003253611
21;0.693064297;1.118620401;0.004069447;0.003165834
22;0.714078156;1.124891663;0.003664117;0.003250709
23;0.746243728;1.10237537;0.003534044;0.003464816
24;0.724980066;1.096115967;0.003698666;0.003180355
25;0.725783646;1.103434834;0.003506888;0.003292433
26;0.706037867;1.073789713;0.00358156;0.003183937
27;0.735872117;1.072797842;0.003509309;0.003111099
28;0.693573658;1.099130749;0.003675456;0.003195242
29;0.697492072;1.077633885;0.003670562;0.003441933
30;0.711024882;1.112321594;0.004040565;0.0033463
31;0.763669448;1.129997921;0.003589937;0.003265375
32;0.726091286;1.136735823;0.003573545;0.003129486
33;0.725617724;1.14049077;0.003607443;0.003176033
34;0.721813105;1.103275908;0.003605779;0.003267345
35;0.730801666;1.081042311;0.003530282;0.003161307
36;0.743053623;1.091024273;0.003612368;0.003366012
37;0.731564717;1.088073684;0.003591787;0.003228513
38;0.713217387;1.128848243;0.003533562;0.003253288
39;0.710792405;1.116178067;0.003640756;0.003259012
40;0.731917431;1.09099674;0.003600321;0.003161265
41;0.730489037;1.108495755;0.006035017;0.003286327
42;0.781301648;1.11220301;0.003563226;0.003752992
43;0.715661368;1.134956499;0.003687225;0.003354486
44;0.793215833;1.155346447;0.003619698;0.00337808
45;0.710191398;1.093049506;0.003694276;0.003806179
46;0.757214598;1.120967977;0.003922343;0.003276108
47;0.716953859;1.100858116;0.00362071;0.003203849
48;0.747119208;1.12232504;0.003755697;0.003187502
49;0.766947724;1.127647702;0.003615073;0.003144884
50;0.692520908;1.098858879;0.003651552;0.003504515
51;0.733839007;1.095483971;0.004008891;0.003365858
52;0.74353758;1.127583626;0.003747237;0.003189398
53;0.713811431;1.095197077;0.003608572;0.003154265
54;0.687723419;1.09036044;0.003686153;0.003266547
55;0.727405861;1.10941783;0.003659169;0.003912969
56;0.697521731;1.098827382;0.003587797;0.003126498
57;0.673933865;1.11339253;0.003881534;0.003259265
58;0.714104618;1.091328711;0.003589039;0.00323774
59;0.739277402;1.112217109;0.005920893;0.003683227
60;0.799866583;1.144987874;0.003596386;0.003236845
61;0.747977666;1.083163967;0.003717221;0.003301938
62;0.694800554;1.150960018;0.003619197;0.003393052
63;0.699000364;1.062558299;0.003652669;0.003204955
64;0.694457142;1.100064732;0.003534291;0.003120479
65;0.709963081;1.078803702;0.003624536;0.003107746
66;0.727375535;1.099749578;0.003532469;0.003259619
67;0.700485379;1.091420103;0.00372091;0.003169169
68;0.732589671;1.080871227;0.003481768;0.003123438
69;0.71474319;1.076988958;0.003537921;0.003280402
70;0.724928962;1.089751948;0.003659857;0.003102631
71;0.722300154;1.088393067;0.003497621;0.00320496
72;0.721294735;1.071986349;0.003583741;0.0031041
73;0.68054798;1.094742788;0.003530177;0.003405568
74;0.736712488;1.1082299;0.003647571;0.002992685
75;0.739341834;1.075428094;0.003566193;0.00311228
76;0.717405398;1.120311947;0.003586782;0.003110682
77;0.691315358;1.078415172;0.0034858;0.003122148
78;0.718867865;1.101597271;0.004116816;0.003193649
79;0.689762768;1.080323269;0.003548191;0.003243457
80;0.717009484;1.101842126;0.003510003;0.003071151
81;0.688641267;1.103876907;0.003588492;0.003128111
82;0.696011738;1.069439184;0.003591983;0.003133328
83;0.705961562;1.062537892;0.003605936;0.003116351
84;0.745287925;1.137488141;0.003710604;0.003340844
85;0.703760059;1.078916302;0.003562869;0.00314284
86;0.727177903;1.097528579;0.003579563;0.003176297
87;0.701657958;1.099965439;0.003659379;0.003241609
88;0.728929916;1.121110423;0.003792525;0.003276375
89;0.745296998;1.121246774;0.003699811;0.003334727
90;0.705418249;1.092642014;0.003532384;0.003144626
91;0.705461582;1.16888293;0.003921186;0.00334143
92;0.74333592;1.13621228;0.003682989;0.003152072
93;0.705479715;1.089879089;0.003597992;0.003311423
94;0.726191655;1.104314667;0.003622691;0.003161156
95;0.718922621;1.123631831;0.003596001;0.00315072
96;0.739567096;1.069054561;0.003533377;0.003174978
97;0.683278827;1.123655558;0.003661889;0.003318934
98;0.73536001;1.172925615;0.003782338;0.003256289
99;0.702426683;1.071310308;0.00363094;0.003251759
100;0.743771737;1.125499859;0.003649934;0.003236932
