sep=;
Vuelta;Insertion;Selection;Merge;Quick
1;0.016451819;0.027059272;5.65965E-4;4.99418E-4
2;0.017373239;0.025840971;5.58309E-4;5.066E-4
3;0.01658602;0.025232865;5.84071E-4;5.23525E-4
4;0.015949083;0.026435795;5.67774E-4;5.13195E-4
5;0.016345146;0.025899569;5.77902E-4;5.42751E-4
6;0.016456153;0.024997071;5.73064E-4;5.02523E-4
7;0.016502513;0.023795386;5.16141E-4;4.52167E-4
8;0.015225896;0.024606148;5.6385E-4;5.51775E-4
9;0.016538922;0.024784082;5.30508E-4;4.92859E-4
10;0.016432482;0.025853762;5.67205E-4;6.61106E-4
11;0.020547356;0.024516372;5.67332E-4;5.14936E-4
12;0.016373226;0.02680035;7.05702E-4;5.6418E-4
13;0.016872174;0.025165414;5.65278E-4;5.10937E-4
14;0.015637844;0.026195891;5.51571E-4;5.0765E-4
15;0.016289783;0.026332665;5.50892E-4;5.39766E-4
16;0.016312219;0.02421438;5.86883E-4;5.29384E-4
17;0.015709874;0.024613722;5.66551E-4;4.90083E-4
18;0.015745593;0.024420425;5.63156E-4;4.94733E-4
19;0.016383938;0.030775183;5.75885E-4;5.23241E-4
20;0.016471273;0.024913263;5.52716E-4;5.09023E-4
21;0.01584242;0.026870521;5.80297E-4;4.95592E-4
22;0.016841257;0.026409452;5.81168E-4;5.4387E-4
23;0.015846536;0.025015352;5.65214E-4;5.39792E-4
24;0.016320921;0.026347815;5.59301E-4;4.99633E-4
25;0.015656675;0.024723367;5.63576E-4;4.93009E-4
26;0.015849062;0.024562414;5.72884E-4;5.08256E-4
27;0.016510964;0.024806689;5.6039E-4;5.34572E-4
28;0.016366584;0.027398246;8.5265E-4;8.25545E-4
29;0.016653233;0.025337263;5.95682E-4;5.18294E-4
30;0.015660827;0.026268459;5.57742E-4;4.99105E-4
31;0.016095117;0.024899766;5.61993E-4;5.08704E-4
32;0.015639219;0.024465911;5.71964E-4;5.19762E-4
33;0.016530863;0.025626709;5.62501E-4;5.1389E-4
34;0.016511852;0.023987396;5.81544E-4;5.13986E-4
35;0.015221217;0.02373903;5.60629E-4;5.12202E-4
36;0.015051195;0.022636363;5.049E-4;4.56813E-4
37;0.015846982;0.025666181;5.90458E-4;5.21671E-4
38;0.015281813;0.024059485;5.57862E-4;5.32661E-4
39;0.015714136;0.023184859;5.07937E-4;4.65724E-4
40;0.016024397;0.024288958;5.36214E-4;4.75533E-4
41;0.015087492;0.024468174;5.56314E-4;4.95621E-4
42;0.015559739;0.025769725;5.59533E-4;5.6171E-4
43;0.015703917;0.02392049;5.54801E-4;4.88075E-4
44;0.014945421;0.02374588;5.53202E-4;4.92722E-4
45;0.018613969;0.025253243;5.64084E-4;4.99126E-4
46;0.015694622;0.024358184;5.26334E-4;4.89713E-4
47;0.015515088;0.025473035;5.58388E-4;5.13485E-4
48;0.015596555;0.023621322;4.89093E-4;4.43179E-4
49;0.013947038;0.024169392;5.57767E-4;5.21204E-4
50;0.016082987;0.024110037;5.31523E-4;5.05977E-4
51;0.015147797;0.023546657;5.36856E-4;4.91557E-4
52;0.015437732;0.025288798;5.61335E-4;4.8798E-4
53;0.014396715;0.022865887;5.21304E-4;4.99849E-4
54;0.016307928;0.024439234;5.1619E-4;4.70604E-4
55;0.014644683;0.023629218;5.55716E-4;4.70383E-4
56;0.01692856;0.024647711;5.45111E-4;5.00075E-4
57;0.017387272;0.025791201;5.55165E-4;5.22189E-4
58;0.016678482;0.028487214;5.66735E-4;5.04564E-4
59;0.01588807;0.025447112;5.76109E-4;5.3127E-4
60;0.016427481;0.028045829;7.34972E-4;6.55469E-4
61;0.017399924;0.025863132;5.76157E-4;5.69226E-4
62;0.016754191;0.025480692;5.62479E-4;5.25887E-4
63;0.015812904;0.024573381;5.69176E-4;5.10389E-4
64;0.016510445;0.022693885;5.7173E-4;5.05237E-4
65;0.017134822;0.023943676;5.60454E-4;5.19522E-4
66;0.015828884;0.025414163;5.61675E-4;5.06001E-4
67;0.015674601;0.023522029;5.06527E-4;4.64398E-4
68;0.01667934;0.026619552;5.64793E-4;5.03087E-4
