sep=;
instancia;artista;t_lineal;t_binaria
1;Artista_0;0.0236963206;0.0
1;Artista_163;0.0405729284;1.56576E-5
1;Artista_327;0.0582343438;3.13336E-5
1;Artista_491;0.0753646146;4.6949999999999996E-5
1;Artista_654;0.09244015720000001;6.337359999999999E-5
2;Artista_0;0.021201689000000003;0.0
2;Artista_163;0.038695726800000003;1.64828E-5
2;Artista_327;0.0555619502;3.20718E-5
2;Artista_491;0.07264711659999999;4.67476E-5
2;Artista_654;0.08935717559999999;6.2376E-5
3;Artista_0;0.0227063882;0.0
3;Artista_163;0.0372049856;1.58146E-5
3;Artista_327;0.05197289199999999;3.0713399999999996E-5
3;Artista_491;0.06715826559999999;4.65604E-5
3;Artista_654;0.08164137279999999;6.22472E-5
4;Artista_0;0.021696455;0.0
4;Artista_163;0.036673954200000004;1.4725E-5
4;Artista_327;0.0518712438;2.9335599999999997E-5
4;Artista_491;0.0660678378;4.4624E-5
4;Artista_654;0.080716534;6.020319999999999E-5
5;Artista_0;0.0217592594;0.0
5;Artista_163;0.0373771684;1.57E-5
5;Artista_327;0.0516641194;3.14806E-5
5;Artista_491;0.0658578994;4.69796E-5
5;Artista_654;0.0826407956;6.27966E-5
6;Artista_0;0.0231959952;0.0
6;Artista_163;0.0406313794;1.57532E-5
6;Artista_327;0.058086425799999994;3.25114E-5
6;Artista_491;0.0755379512;4.82158E-5
6;Artista_654;0.09296402159999999;6.36996E-5
7;Artista_0;0.0224827298;0.0
7;Artista_163;0.036844844200000004;1.56338E-5
7;Artista_327;0.05356819580000001;3.14204E-5
7;Artista_491;0.07060931320000001;4.71418E-5
7;Artista_654;0.09103484920000002;6.3038E-5
8;Artista_0;0.0222318986;0.0
8;Artista_163;0.0389405666;1.58766E-5
8;Artista_327;0.053324019199999996;3.04474E-5
8;Artista_491;0.06795326799999998;4.62152E-5
8;Artista_654;0.08243572259999998;6.1686E-5
9;Artista_0;0.0216167262;0.0
9;Artista_163;0.0398069694;1.4781199999999998E-5
9;Artista_327;0.0568246286;3.0243E-5
9;Artista_491;0.07409743960000001;4.6030400000000006E-5
9;Artista_654;0.09107861980000001;6.06166E-5
10;Artista_0;0.0223065804;0.0
10;Artista_163;0.0364923282;1.5568E-5
10;Artista_327;0.05320905060000001;3.1282400000000004E-5
10;Artista_491;0.06998636800000001;4.6920200000000005E-5
10;Artista_654;0.08413951320000002;6.25638E-5
11;Artista_0;0.0218751104;0.0
11;Artista_163;0.038614432;1.5781599999999998E-5
11;Artista_327;0.056068178;3.2189999999999995E-5
11;Artista_491;0.07275323040000001;4.78996E-5
11;Artista_654;0.08937596540000001;6.34452E-5
12;Artista_0;0.0225104798;0.0
12;Artista_163;0.0392153296;1.45326E-5
12;Artista_327;0.05585174699999999;2.98718E-5
12;Artista_491;0.0731136094;4.52878E-5
12;Artista_654;0.08988780360000001;6.0881399999999996E-5
13;Artista_0;0.0224029646;0.0
13;Artista_163;0.0369077462;1.5725599999999997E-5
13;Artista_327;0.0563396354;3.02816E-5
13;Artista_491;0.07059809339999999;4.56382E-5
13;Artista_654;0.0850071274;6.125620000000001E-5
14;Artista_0;0.0218798392;0.0
14;Artista_163;0.0361730432;1.5609E-5
14;Artista_327;0.0503414722;3.10596E-5
14;Artista_491;0.06455340700000001;4.65606E-5
14;Artista_654;0.0789961844;6.10994E-5
15;Artista_0;0.0212810356;0.0
15;Artista_163;0.03587735760000001;1.48668E-5
15;Artista_327;0.05015201700000001;3.06576E-5
15;Artista_491;0.0644036188;4.62996E-5
15;Artista_654;0.07872663020000001;6.21152E-5
16;Artista_0;0.021842411200000002;0.0
16;Artista_163;0.0362351912;1.5599400000000002E-5
16;Artista_327;0.050523526799999996;3.12928E-5
16;Artista_491;0.0647180764;4.6885800000000004E-5
16;Artista_654;0.0796621368;6.234420000000001E-5
17;Artista_0;0.0208932228;0.0
17;Artista_163;0.035397639999999994;1.5639199999999998E-5
17;Artista_327;0.049783572799999995;3.0411999999999996E-5
17;Artista_491;0.06428462739999999;4.57258E-5
17;Artista_654;0.0794665054;6.15292E-5
18;Artista_0;0.0226060976;0.0
18;Artista_163;0.0400989196;1.58818E-5
18;Artista_327;0.0548126384;3.24856E-5
18;Artista_491;0.0721470418;4.73296E-5
18;Artista_654;0.0894229896;6.310880000000001E-5
19;Artista_0;0.0224544442;0.0
19;Artista_163;0.036866124;1.4705799999999999E-5
19;Artista_327;0.0512582604;3.04208E-5
19;Artista_491;0.0656413354;4.61522E-5
19;Artista_654;0.0799960824;6.181240000000001E-5
20;Artista_0;0.0225258384;0.0
20;Artista_163;0.039642566000000004;1.57236E-5
20;Artista_327;0.05393893600000001;3.1394400000000006E-5
20;Artista_491;0.072519761;4.59558E-5
20;Artista_654;0.08671033140000001;6.16634E-5
21;Artista_0;0.0216768548;0.0
21;Artista_163;0.039209319;1.5406600000000003E-5
21;Artista_327;0.056091248999999996;3.1051600000000006E-5
21;Artista_491;0.0708873298;4.56564E-5
21;Artista_654;0.0863038592;6.15392E-5
22;Artista_0;0.021114439;0.0
22;Artista_163;0.0352969396;1.5649E-5
22;Artista_327;0.0494750724;3.1424199999999996E-5
22;Artista_491;0.0642114548;4.71574E-5
22;Artista_654;0.0784495698;6.28796E-5
23;Artista_0;0.021369051;0.0
23;Artista_163;0.0380945588;1.5724399999999998E-5
23;Artista_327;0.055136202;3.14172E-5
23;Artista_491;0.0692994754;4.71226E-5
23;Artista_654;0.08348411580000001;6.2754E-5
24;Artista_0;0.0211476432;0.0
24;Artista_163;0.035560227;1.49922E-5
24;Artista_327;0.052274153600000005;3.14428E-5
24;Artista_491;0.0664778764;4.61086E-5
24;Artista_654;0.0834071544;6.18136E-5
25;Artista_0;0.0223085232;0.0
25;Artista_163;0.0391130892;1.53928E-5
25;Artista_327;0.0558780192;3.1055999999999995E-5
25;Artista_491;0.070810361;4.63582E-5
25;Artista_654;0.08563504499999999;6.253899999999999E-5
26;Artista_0;0.0209012436;0.0
26;Artista_163;0.0350803558;1.56932E-5
26;Artista_327;0.049323376399999994;3.13238E-5
26;Artista_491;0.0643581608;4.58718E-5
26;Artista_654;0.07853445619999999;6.16398E-5
27;Artista_0;0.0225150746;0.0
27;Artista_163;0.0406264116;1.49588E-5
27;Artista_327;0.055271348600000006;2.99242E-5
27;Artista_491;0.0696369044;4.5563200000000004E-5
27;Artista_654;0.086520171;6.131640000000001E-5
28;Artista_0;0.0226186762;0.0
28;Artista_163;0.039445780400000005;1.46974E-5
28;Artista_327;0.053871237800000006;2.9290000000000002E-5
28;Artista_491;0.0706300924;4.5041600000000006E-5
28;Artista_654;0.08740022859999999;6.08122E-5
29;Artista_0;0.0221337036;0.0
29;Artista_163;0.0388702382;1.6087E-5
29;Artista_327;0.05565418099999999;3.0771999999999996E-5
29;Artista_491;0.0698208122;4.64996E-5
29;Artista_654;0.0865048606;6.12776E-5
30;Artista_0;0.0231131756;0.0
30;Artista_163;0.0400280776;1.5560800000000002E-5
30;Artista_327;0.0572197798;3.12482E-5
30;Artista_491;0.07398447820000001;4.70344E-5
30;Artista_654;0.0883524346;6.27152E-5
31;Artista_0;0.0212091812;0.0
31;Artista_163;0.03630721;1.58786E-5
31;Artista_327;0.0509930832;3.0373200000000003E-5
31;Artista_491;0.0651807014;4.5945E-5
31;Artista_654;0.07940125719999999;6.13988E-5
32;Artista_0;0.022945324;0.0
32;Artista_163;0.0397912488;1.46386E-5
32;Artista_327;0.0575052892;3.0466999999999998E-5
32;Artista_491;0.0717370374;4.5067399999999995E-5
32;Artista_654;0.08591134399999999;6.067539999999999E-5
33;Artista_0;0.022309581000000002;0.0
33;Artista_163;0.037320868800000004;1.58332E-5
33;Artista_327;0.0517860282;3.1657E-5
33;Artista_491;0.0687225336;4.742959999999999E-5
33;Artista_654;0.0857401524;6.28058E-5
34;Artista_0;0.022253479;0.0
34;Artista_163;0.0390585466;1.5746600000000003E-5
34;Artista_327;0.0558684168;3.13604E-5
34;Artista_491;0.0733252966;4.7408E-5
