sep=;
Vuelta;Insertion;Selection;Merge;Quick
1;0.275066304;0.408057065;0.002840342;0.002390437
2;0.271918849;0.434486891;0.002628614;0.00235423
3;0.248276716;0.396973076;0.002746324;0.002498692
4;0.267413964;0.388997706;0.00280915;0.002492509
5;0.257920802;0.392235138;0.002949318;0.002471651
6;0.259487152;0.394388054;0.002726157;0.00252041
7;0.250359198;0.426851308;0.002810197;0.002464745
8;0.251214846;0.39289695;0.002463624;0.002176102
9;0.249920675;0.391303539;0.002756248;0.002379217
10;0.256862975;0.399425973;0.002738552;0.00238755
11;0.253368202;0.400242374;0.002711653;0.002312824
12;0.255033473;0.386163757;0.00270366;0.002375067
13;0.259964261;0.401489107;0.002792419;0.002456473
14;0.258527685;0.411007137;0.002916141;0.002496542
15;0.268312653;0.38748735;0.002898324;0.002435262
16;0.268492327;0.388661423;0.002757157;0.002412273
17;0.262484726;0.390633035;0.002567794;0.002196781
18;0.256622381;0.394043955;0.003045595;0.002422235
19;0.289512177;0.387919062;0.002701418;0.002462234
20;0.255189651;0.395049737;0.002841192;0.002483077
21;0.321496412;0.407517338;0.002840947;0.002409537
22;0.269462759;0.397042569;0.00289447;0.002462107
23;0.255996189;0.39776112;0.002767279;0.002602715
24;0.246308803;0.416647938;0.004828197;0.003094519
25;0.254753168;0.39162463;0.002543194;0.002244722
26;0.258538167;0.390899843;0.002690435;0.002304032
27;0.254869709;0.38751824;0.002831555;0.002505709
28;0.25283965;0.39340813;0.002809251;0.002459756
29;0.255090895;0.433382312;0.002857931;0.002480044
30;0.258900482;0.394100509;0.002703495;0.002465284
31;0.253026212;0.392268969;0.002591915;0.002240429
32;0.25540062;0.402511949;0.002924004;0.002594205
33;0.253397676;0.403233717;0.002871769;0.00246384
34;0.284142646;0.397188124;0.002850692;0.002486212
35;0.262814657;0.404038166;0.002793924;0.002478617
36;0.251811593;0.417405061;0.002871927;0.002415308
37;0.272622095;0.408341629;0.002570124;0.002303865
38;0.258871056;0.399424643;0.002457885;0.002133929
39;0.260122741;0.393088519;0.00287913;0.002489818
40;0.267219906;0.404254039;0.002662931;0.00237825
41;0.262834328;0.403794347;0.002701465;0.002937643
42;0.2837088;0.404252171;0.002781783;0.002539432
43;0.248962729;0.400297134;0.002822384;0.002791755
44;0.259922752;0.402750907;0.002738406;0.002321078
45;0.251203636;0.392948557;0.002877238;0.002437446
46;0.252365167;0.392929241;0.002889351;0.002375818
47;0.255003837;0.389387681;0.002567681;0.002409622
48;0.256465502;0.405424644;0.002810799;0.002520122
49;0.265151867;0.397151068;0.002853384;0.002466601
50;0.257279239;0.395013796;0.002768538;0.002558174
51;0.252725898;0.428124399;0.002808305;0.002429116
52;0.248321601;0.387942142;0.002542386;0.002252754
53;0.256285419;0.388439373;0.002565024;0.002312432
54;0.257861068;0.395282878;0.002757467;0.002455487
55;0.255483497;0.393127115;0.002886215;0.00247717
56;0.261586568;0.38570995;0.002606338;0.002191357
57;0.262184741;0.39438133;0.002557981;0.002235939
58;0.251329539;0.389041965;0.002806803;0.002574058
59;0.262214677;0.388746272;0.002622527;0.002383987
60;0.254266343;0.393406275;0.002842614;0.00243535
61;0.250318152;0.391464665;0.002509334;0.002248631
62;0.259910359;0.389995786;0.002772474;0.002457263
63;0.257597264;0.394047827;0.002672761;0.002304763
64;0.257960853;0.389023522;0.002591458;0.002241342
65;0.259637379;0.387537154;0.002854439;0.002482043
66;0.262173376;0.403560759;0.002806507;0.002421665
67;0.25097776;0.400706996;0.002715211;0.002309587
68;0.25937565;0.389001534;0.002993672;0.002657512
69;0.251475728;0.387177696;0.002563439;0.002262474
70;0.246620389;0.399518682;0.002970863;0.002458468
71;0.268936516;0.399658354;0.002831643;0.002451999
72;0.261694537;0.397511653;0.002412437;0.002147963
73;0.253437692;0.3996958;0.002912003;0.002503609
74;0.25994502;0.384380274;0.002814126;0.002464227
75;0.261876424;0.39436242;0.002636497;0.002266067
76;0.253321879;0.401430497;0.002838188;0.002533919
77;0.261321372;0.393500893;0.002461612;0.002226749
78;0.251054792;0.392046288;0.002444352;0.002194571
79;0.254908956;0.388619311;0.002763872;0.002428957
80;0.262470183;0.396582143;0.002762474;0.002298116
81;0.274466581;0.416950411;0.003248153;0.002655737
82;0.256290485;0.394572795;0.002652743;0.002367775
83;0.262234768;0.391238363;0.002537448;0.002496991
84;0.262699518;0.394461069;0.002759331;0.002447915
85;0.260133492;0.398392309;0.002755474;0.002398508
86;0.262174609;0.415370484;0.002786583;0.002400392
87;0.254752608;0.393346795;0.00261116;0.002345867
88;0.253074459;0.399135814;0.002557202;0.002292466
89;0.252885967;0.394579186;0.002763278;0.002464189
90;0.271959718;0.397695819;0.002690684;0.002314943
91;0.255949613;0.404254396;0.002875634;0.002665883
92;0.254355377;0.393886218;0.002865861;0.002550811
93;0.258373405;0.388839931;0.002690112;0.00245522
94;0.253255648;0.398222573;0.002675066;0.002158856
95;0.251443432;0.391647242;0.002904106;0.002386403
96;0.281033604;0.395900183;0.00277364;0.002583311
97;0.270937645;0.426148142;0.002859203;0.002420476
98;0.257868191;0.38963397;0.002532192;0.002394099
99;0.255736838;0.408101985;0.004409723;0.003435186
100;0.262307966;0.390681674;0.002448243;0.002235375
